label,value
Alan A'Court,Alan A'Court
Alan Hansen,Alan Hansen
Alan Kennedy,Alan Kennedy
Albert Stubbins,Albert Stubbins
Alec Lindsay,Alec Lindsay
Alex Raisbeck,Alex Raisbeck
Alf Arrowsmith,Alf Arrowsmith
Alf Hanson,Alf Hanson
Alf West,Alf West
Alun Evans,Alun Evans
Alvaro Arbeloa,Alvaro Arbeloa
Andrew McCowie,Andrew McCowie
Andy Carroll,Andy Carroll
Andy McGuigan,Andy McGuigan
Archie McPherson,Archie McPherson
Archie Rawlings,Archie Rawlings
Arthur Goddard,Arthur Goddard
Arthur Metcalf,Arthur Metcalf
Berry Nieuwenhuys,Berry Nieuwenhuys
Bill Goldie,Bill Goldie
Bill Jones,Bill Jones
Bill Lacey,Bill Lacey
Bill McPherson,Bill McPherson
Billy Banks,Billy Banks
Billy Liddell,Billy Liddell
Billy Watkinson,Billy Watkinson
Bob Clark,Bob Clark
Bob Done,Bob Done
Bob Paisley,Bob Paisley
Bob Priday,Bob Priday
Bobby Graham,Bobby Graham
Bobby Robinson,Bobby Robinson
Brian Hall,Brian Hall
Brian Jackson,Brian Jackson
Bryan Williams,Bryan Williams
Charlie Satterthwaite,Charlie Satterthwaite
Charlie Wilson,Charlie Wilson
Chris Lawler,Chris Lawler
Colin Irwin,Colin Irwin
Craig Bellamy,Craig Bellamy
Craig Johnston,Craig Johnston
Cyril Done,Cyril Done
Cyril Gilhespy,Cyril Gilhespy
Daniel Agger,Daniel Agger
Daniel Sturridge,Daniel Sturridge
Danny McRorie,Danny McRorie
Danny Murphy,Danny Murphy
Danny Shone,Danny Shone
Dave Wright,Dave Wright
David Burrows,David Burrows
David Davidson,David Davidson
David Fairclough,David Fairclough
David Hannah,David Hannah
David Johnson,David Johnson
David N'Gog,David N'Gog
David Thompson,David Thompson
Dean Saunders,Dean Saunders
Dick Edmed,Dick Edmed
Dick Forshaw,Dick Forshaw
Dick Johnson,Dick Johnson
Didi Hamann,Didi Hamann
Dirk Kuyt,Dirk Kuyt
Djibril Cisse,Djibril Cisse
Donald Mackinlay,Donald Mackinlay
Emile Heskey,Emile Heskey
Emlyn Hughes,Emlyn Hughes
Ernest Peake,Ernest Peake
Fabio Aurelio,Fabio Aurelio
Fabio Borini,Fabio Borini
Fernando Morientes,Fernando Morientes
Fernando Torres,Fernando Torres
Florent Sinama-Pongolle,Florent Sinama-Pongolle
Frank Becton,Frank Becton
Fred Baron,Fred Baron
Fred Geary,Fred Geary
Fred Hopkin,Fred Hopkin
Fred Howe,Fred Howe
Fred Pagnam,Fred Pagnam
Gary Gillespie,Gary Gillespie
Geoff Strong,Geoff Strong
George Allan,George Allan
George Fleming,George Fleming
Glen Johnson,Glen Johnson
Glenn Hysen,Glenn Hysen
Gordon Gunson,Gordon Gunson
Gordon Hodgson,Gordon Hodgson
Gordon Milne,Gordon Milne
Gordon Wallace,Gordon Wallace
Graeme Souness,Graeme Souness
Harold Barton,Harold Barton
Harold Taylor,Harold Taylor
Harry Bradshaw,Harry Bradshaw
Harry Chambers,Harry Chambers
Harry Eastham,Harry Eastham
Harry Kewell,Harry Kewell
Harry Lewis,Harry Lewis
Harry Lowe,Harry Lowe
Harry Race,Harry Race
Hugh Morgan,Hugh Morgan
Ian Callaghan,Ian Callaghan
Ian Ross,Ian Ross
Ian Rush,Ian Rush
Ian St John,Ian St John
Jack Balmer,Jack Balmer
Jack Cox,Jack Cox
Jack Parkinson,Jack Parkinson
Jack Smith,Jack Smith
Jack Whitham,Jack Whitham
Jackie Sheldon,Jackie Sheldon
James Bradley,James Bradley
James Jackson,James Jackson
Jamie Carragher,Jamie Carragher
Jamie Redknapp,Jamie Redknapp
Jan Molby,Jan Molby
Jari Litmanen,Jari Litmanen
Jason McAteer,Jason McAteer
Jermaine Pennant,Jermaine Pennant
Jim Beglin,Jim Beglin
Jimmy Case,Jimmy Case
Jimmy Harrop,Jimmy Harrop
Jimmy McDougall,Jimmy McDougall
Jimmy Melia,Jimmy Melia
Jimmy Nicholl,Jimmy Nicholl
Jimmy Payne,Jimmy Payne
Jimmy Ross,Jimmy Ross
Jimmy Smith,Jimmy Smith
Jimmy Stewart,Jimmy Stewart
Jimmy Walsh,Jimmy Walsh
Jock McNab,Jock McNab
Joe Allen,Joe Allen
Joe Cole,Joe Cole
Joe Hewitt,Joe Hewitt
Joe McQue,Joe McQue
John Aldridge,John Aldridge
John Arne Riise,John Arne Riise
John Bamber,John Bamber
John Barnes,John Barnes
John Carlin,John Carlin
John Hunter,John Hunter
John Lindsay,John Lindsay
John McCartney,John McCartney
John McDonald,John McDonald
John Toshack,John Toshack
John Wark,John Wark
Johnny Walker,Johnny Walker
Jonjo Shelvey,Jonjo Shelvey
Jordan Henderson,Jordan Henderson
Karl-Heinz Riedle,Karl-Heinz Riedle
Ken Brierley,Ken Brierley
Kenny Dalglish,Kenny Dalglish
Kevin Baron,Kevin Baron
Kevin Keegan,Kevin Keegan
Lance Carr,Lance Carr
Larry Lloyd,Larry Lloyd
Louis Bimpson,Louis Bimpson
Luis Garcia,Luis Garcia
Luis Suarez,Luis Suarez
Malcolm McVean,Malcolm McVean
Mark Lawrenson,Mark Lawrenson
Mark Walters,Mark Walters
Mark Wright,Mark Wright
Martin Skrtel,Martin Skrtel
Matt Busby,Matt Busby
Maurice Parry,Maurice Parry
Maxi Rodriguez,Maxi Rodriguez
Michael Owen,Michael Owen
Michael Thomas,Michael Thomas
Mike Marsh,Mike Marsh
Milan Baros,Milan Baros
Neil Ruddock,Neil Ruddock
Oyvind Leonhardsen,Oyvind Leonhardsen
Patrik Berger,Patrik Berger
Paul Ince,Paul Ince
Paul Walsh,Paul Walsh
Peter Beardsley,Peter Beardsley
Peter Cormack,Peter Cormack
Peter Crouch,Peter Crouch
Peter Thompson,Peter Thompson
Phil Boersma,Phil Boersma
Phil Neal,Phil Neal
Phil Taylor,Phil Taylor
Phil Thompson,Phil Thompson
Philippe Coutinho,Philippe Coutinho
Raheem Sterling,Raheem Sterling
Ray Houghton,Ray Houghton
Ray Kennedy,Ray Kennedy
Ray Lambert,Ray Lambert
Robbie Fowler,Robbie Fowler
Roger Hunt,Roger Hunt
Ron Yeats,Ron Yeats
Ronald Orr,Ronald Orr
Ronnie Moran,Ronnie Moran
Ronnie Whelan,Ronnie Whelan
Ronny Rosenthal,Ronny Rosenthal
Ryan Babel,Ryan Babel
Sam Bowyer,Sam Bowyer
Sam English,Sam English
Sam Gilligan,Sam Gilligan
Sam Raybould,Sam Raybould
Sami Hyypia,Sami Hyypia
Sammy Lee,Sammy Lee
Sammy Smyth,Sammy Smyth
Sotirios Kyrgiakos,Sotirios Kyrgiakos
Stan Collymore,Stan Collymore
Steve Harkness,Steve Harkness
Steve Heighway,Steve Heighway
Steve McMahon,Steve McMahon
Steve McManaman,Steve McManaman
Steve Nicol,Steve Nicol
Steven Gerrard,Steven Gerrard
Syd Roberts,Syd Roberts
Terry McDermott,Terry McDermott
Tom Bromilow,Tom Bromilow
Tom Chorlton,Tom Chorlton
Tom Gracie,Tom Gracie
Tom Miller,Tom Miller
Tom Morrison,Tom Morrison
Tom Reid,Tom Reid
Tom Scott,Tom Scott
Tommy Johnson,Tommy Johnson
Tommy Lucas,Tommy Lucas
Tommy Robertson,Tommy Robertson
Tommy Smith,Tommy Smith
Tony Hateley,Tony Hateley
Vegard Heggem,Vegard Heggem
Vic Wright,Vic Wright
Vladimir Smicer,Vladimir Smicer
Walter Wadsworth,Walter Wadsworth
Willie Devlin,Willie Devlin
Willie Fagan,Willie Fagan
Willie Stevenson,Willie Stevenson
Xabi Alonso,Xabi Alonso
Yossi Benayoun,Yossi Benayoun
